Name,Total Population,Median Household Income,Males 25-34,Females 25-34,Males 35-44,Females 35-44,Bachelor's Degree,Master's Degree,Professional School Degree,Doctorate Degree,White Alone,Black or African American Alone,Asian Alone,Hispanic or Latino,Employed,Total Households,Average Household Size,Population 5+ Speaking Non-English at Home,ZIP_Code
ZCTA5 76036,30489,89393,1048,954,946,1153,3618,1475,256,156,17628,6338,581,8806,15429,9920,3.07,,76036
ZCTA5 76102,11645,81074,1069,703,834,519,1768,876,348,186,7490,2355,261,2685,4735,4303,1.51,,76102
ZCTA5 76103,17285,56641,601,816,718,551,1235,420,335,37,6639,3345,110,9611,9092,5500,3.06,,76103
ZCTA5 76104,18914,46098,544,955,936,734,1448,548,245,101,7229,5591,540,8694,8232,7386,2.48,,76104
ZCTA5 76105,23252,44193,806,714,476,928,498,81,69,72,4319,7853,88,13444,10208,6865,3.28,,76105
ZCTA5 76106,37777,51972,1471,1720,1737,1353,1176,309,0,7,12004,3376,401,30079,18465,10814,3.47,,76106
ZCTA5 76107,29629,77277,1605,2183,1278,1010,7465,2794,1232,645,20879,4082,1062,6485,17612,15194,1.94,,76107
ZCTA5 76108,44930,73183,1297,1631,1489,1697,5196,2194,332,160,30817,2938,882,12979,22085,16385,2.70,,76108
ZCTA5 76109,25658,99102,1220,1028,725,1004,6555,2954,973,831,20537,1306,1664,2637,13499,9878,2.35,,76109
ZCTA5 76110,33640,59933,1450,997,1408,1197,3727,1400,413,266,19406,539,401,21505,16205,11276,2.95,,76110
ZCTA5 76111,21366,54884,820,589,887,653,1421,315,93,25,11374,806,645,14818,11210,7673,2.78,,76111
ZCTA5 76112,44116,53335,1737,2141,1637,1823,4138,1380,212,234,13058,18590,1220,13815,22755,17111,2.57,,76112
ZCTA5 76114,27297,63454,1351,1044,712,968,1822,550,113,112,17536,515,183,16120,13316,9635,2.78,,76114
ZCTA5 76115,21355,45311,900,779,762,946,969,859,99,74,8541,2301,1350,15215,8997,6074,3.48,,76115
ZCTA5 76116,49232,50982,2426,2169,2346,1957,6991,2600,691,213,31003,9612,878,13315,25241,22150,2.21,,76116
ZCTA5 76117,32692,49782,1829,1103,897,1137,1627,438,86,57,17149,2291,2696,15091,16010,11679,2.79,,76117
ZCTA5 76118,16822,89394,666,920,524,456,2221,1008,116,109,11468,1382,1119,3640,9624,5849,2.85,,76118
ZCTA5 76119,51401,44605,1482,1852,2371,2227,1813,546,88,9,13171,19790,1096,25309,21657,14805,3.35,,76119
ZCTA5 76120,19842,70129,807,1002,436,887,2957,995,119,110,6755,9147,707,4257,11704,7807,2.54,,76120
ZCTA5 76123,40973,91180,1481,989,1246,1930,5274,2100,431,411,15125,16295,2892,10876,22196,12777,3.19,,76123
ZCTA5 76126,25480,106467,878,801,564,675,5044,2052,638,278,19828,595,393,5371,12781,9159,2.77,,76126
ZCTA5 76127,1657,103971,56,147,0,195,23,20,12,0,1349,125,14,489,390,44,2.68,,76127
ZCTA5 76131,50572,101087,1674,2028,2532,2502,8485,3409,169,230,28086,7831,5227,13218,26870,16817,3.01,,76131
ZCTA5 76132,26709,68284,967,1571,857,1286,5291,2499,763,431,16499,4723,2095,4928,14528,12405,2.13,,76132
ZCTA5 76133,54241,69506,2148,2362,1952,1936,5779,3167,677,433,29144,11836,1773,20539,26468,19147,2.81,,76133
ZCTA5 76134,29211,65516,1070,1195,1447,895,2199,1302,46,107,11846,9071,1326,12582,15603,9983,2.91,,76134
ZCTA5 76135,18648,69525,782,651,472,507,1921,863,101,111,14360,948,94,5363,10049,7724,2.38,,76135
ZCTA5 76137,58970,86733,2109,2631,2718,2676,8907,2686,334,286,33432,7398,6511,14690,34997,21937,2.69,,76137
ZCTA5 76140,31882,70933,1000,1149,911,1199,2093,778,91,55,12446,10746,600,12322,16225,10064,3.16,,76140
ZCTA5 76148,24080,88121,932,950,915,799,3148,700,14,27,16802,1393,1425,6937,13599,8071,2.97,,76148
ZCTA5 76155,6295,59653,533,690,461,543,1323,702,58,73,2133,2646,761,1572,4649,3457,1.82,,76155
ZCTA5 76164,13853,52691,503,271,417,781,358,68,16,19,5213,242,9,12805,6769,4422,3.11,,76164
ZCTA5 76177,21967,102719,1120,882,870,902,4992,1747,87,194,13494,2525,1805,4494,13868,8720,2.52,,76177
ZCTA5 76179,74074,106288,1696,1924,3635,3817,9770,3976,380,302,50107,7065,2375,22928,39189,24505,3.02,,76179
ZCTA5 76180,37271,76416,1468,1547,1473,1304,5714,2216,217,133,25836,3237,1417,8431,21118,14943,2.47,,76180
ZCTA5 76182,30509,110669,430,630,974,1215,6317,2055,195,183,24529,1212,1055,4757,16475,11252,2.70,,76182
ZCTA5 76244,75185,116568,1775,1491,2311,3315,13782,4944,540,575,51865,7034,6044,13760,40519,24135,3.11,,76244
ZCTA5 76248,40130,161383,564,535,974,897,10585,4121,899,546,33729,1165,2397,4113,20695,14315,2.78,,76248
ZCTA5 76053,31396,59985,1056,1053,1022,929,4106,1549,98,80,19844,3912,1359,9047,16175,11655,2.69,,76053
ZCTA5 76039,41045,80176,2043,1749,2120,2273,7850,3207,442,359,21413,6620,5439,7068,25857,17107,2.40,,76039
ZCTA5 76012,27769,80972,1010,725,1045,680,5156,2256,427,305,16848,3973,687,8543,14308,10722,2.55,,76012
ZCTA5 76013,35535,64585,1995,1482,1229,1366,6096,2526,213,562,23057,5061,2806,6016,19140,13274,2.50,,76013
